job_id,customer_id,tech_name,region,city,job_type,scheduled_date,scheduled_time,arrival_time,duration_minutes,success,repeat_visit,repeat_reason,parts_used,notes
20000,2824,Jess T.,east,charlotte,install,2024-01-18,9:00am,09:5 AM,28,No,No,,Router;Coax Cable,Technician running late
20001,,John S.,Suth,Concord,reapir,2024-04-13,14:22,09:5 AM,,No,Y,Signal Issue,Modem,
20002,,,WEST,Concord,reapir,2024-04-13,12:3 pm,9:00am,40,yes,,,None,Technician running late
20003,4150,John Smith,South,Huntersville,Repair,04/19/24,9:00am,09:5 AM,N/A,No,Y,Customer Not Home,Fiber ONT,Installed new modem
20004,N/A,L P,South,charlotte,Instal,2024/02/18,07:50,16:40,34,yes,N,Customer Not Home,Modem,Customer unhappy
20005,N/A,Jessica T,Suth,huntersvill,Instal,2024/01/19,14:22,07:50,N/A,no,,N/A,None,Customer unhappy
20006,,J. Smith,East,Charlotte,Maintenance,03/21/24,09:5 AM,9:00am,117,no,,Customer Not Home,Router;Coax Cable,
20007,,J. Taylor,WEST,Charlotte,reapir,02/25/24,12:3 pm,8:15 AM,,Yes,,Customer Not Home,Fiber ONT,Customer unhappy
20008,N/A,L P,East,Concord,maintenence,2024-03-03,9:00am,16:40,98,No,,Signal Issue,Modem,
20009,N/A,J Smith,Suth,Concord,Maintenance,02-03-2024,09:5 AM,07:50,N/A,no,,,None,
20010,,J. Smith,South,charlotte,Repair,2024-02-13,07:50,07:50,21,No,Yes,Signal Issue,None,
20011,N/A,Maria Gomez,Suth,charlotte,Maintenance,04-02-2024,12:3 pm,07:50,,Yes,Yes,,,Installed new modem
20012,,Liam P.,East,concord,Repair,2024-1-8,16:40,9:00am,,no,No,N/A,Splitter,Installed new modem
20013,N/A,,West,huntersvill,Repair,01-07-2024,8:15 AM,9:00am,,no,N,Equipment Failure,,
20014,,John Smith,Noth,Huntersville,Instal,2024-2-6,12:3 pm,14:22,,Yes,,,Router;Coax Cable,Installed new modem
20015,1936,Liam Peterson,Suth,Concord,Maintenance,01-08-2024,9:00am,14:22,37,No,N,Signal Issue,Fiber ONT,Technician running late
20016,1651,Maria G,WEST,Huntersville,install,2024/03/26,07:50,1:15 pm,N/A,no,Y,Signal Issue,Router;Coax Cable,
20017,2638,L P,South,Concord,reapir,2024/01/17,9:00am,07:50,,no,,,N/A,Technician running late
20018,9666,Jessica T,east,concord,Repair,04/30/24,1:15 pm,9:00am,,yes,Y,,Fiber ONT,Installed new modem
20019,,L P,Suth,Huntersville,Install,2024-1-12,1:15 pm,8:15 AM,,yes,No,,coax cable; modem,Technician running late
20020,8007,J. Smith,West,concord,Maintenance,2024-03-10,16:40,14:22,130,yes,Y,Signal Issue,None,Customer unhappy
20021,5088,M. Gomez,Noth,Concord,Maintenance,04/28/24,14:22,14:22,,yes,N,,Fiber ONT,Installed new modem
20022,3608,Maria G,East,huntersvill,install,2024-1-26,16:40,1:15 pm,78,No,N,Customer Not Home,N/A,
20023,,Jessica T,Noth,concord,maintenence,2024-04-30,9:00am,1:15 pm,N/A,Yes,Yes,,,Installed new modem
20024,,Liam Peterson,West,huntersvill,install,2024-02-02,09:5 AM,8:15 AM,,yes,N,Signal Issue,None,Technician running late
20025,6143,Jess T.,east,Concord,reapir,2024-3-26,16:40,09:5 AM,,No,N,,,Customer unhappy
20026,,L P,East,Huntersville,reapir,2024-1-27,16:40,12:3 pm,,no,,Equipment Failure,Modem,Installed new modem
20027,,J. Smith,South,concord,reapir,01/29/24,14:22,8:15 AM,,Yes,N,N/A,Fiber ONT,
20028,,John S.,North,concord,Install,2024-04-24,09:5 AM,07:50,,Yes,,Equipment Failure,Modem,
20029,,Jessica T,WEST,huntersvill,Maint.,04-16-2024,12:3 pm,14:22,N/A,No,,Customer Not Home,coax cable; modem,Customer unhappy
20030,,J. Smith,east,charlotte,reapir,2024/02/12,9:00am,14:22,,No,,Equipment Failure,Modem,
20031,,L P,Suth,huntersvill,Install,2024-1-27,09:5 AM,8:15 AM,,Yes,Y,Customer Not Home,,
20032,N/A,Liam P.,South,Huntersville,Maint.,2024-03-03,09:5 AM,16:40,,No,,,Router;Coax Cable,
20033,1444,Jessica T,Noth,charlotte,Instal,2024-01-24,1:15 pm,09:5 AM,,yes,Y,N/A,N/A,
20034,5133,Liam P.,East,concord,Install,02/14/24,9:00am,8:15 AM,,Yes,,Equipment Failure,Fiber ONT,Customer unhappy
