,job_id,customer_id,tech_name,region,city,job_type,scheduled_date,duration_minutes,success,repeat_visit,repeat_reason,notes,scheduled_time_dt,arrival_time_dt,parts_used
0,20000,2196.0,Jessica Taylor,east,Charlotte,install,2024-01-18,82.0,True,False,,Technician running late,2024-01-18 12:00:00,2025-12-13 08:50:00,"['Router', 'Coax Cable']"
1,20001,,Nan,south,Concord,repair,2024-04-13,54.0,True,False,,,2024-04-13 09:30:00,2025-12-13 14:30:00,['Modem']
2,20002,9832.0,Nan,west,Concord,repair,2024-04-13,39.0,True,False,,Technician running late,2024-04-13 16:00:00,2025-12-13 12:10:00,[]
3,20003,3192.0,Jessica Taylor,south,Huntersville,repair,2024-04-19,95.0,True,True,Customer Not Home,Installed new modem,2024-04-19 13:00:00,2025-12-13 09:40:00,['Fiber Ont']
4,20004,5113.0,Liam Peterson,south,Charlotte,install,2024-02-18,105.0,True,False,,Customer unhappy,2024-02-18 10:00:00,2025-12-13 07:50:00,['Modem']
5,20005,5846.0,Liam Peterson,south,Huntersville,install,2024-01-19,128.0,True,False,,Customer unhappy,2024-01-19 12:00:00,2025-12-13 14:10:00,[]
6,20006,7824.0,John Smith,east,Charlotte,maintenence,2024-03-21,117.0,True,True,Customer Not Home,,2024-03-21 15:00:00,2025-12-13 09:50:00,"['Router', 'Coax Cable']"
7,20007,9692.0,John Smith,west,Charlotte,repair,2024-02-25,51.0,True,False,,Customer unhappy,2024-02-25 09:00:00,2025-12-13 12:10:00,['Fiber Ont']
8,20008,8574.0,Maria Gomez,east,Concord,maintenence,2024-03-03,98.0,False,True,Signal Issue,,2024-03-03 12:00:00,2025-12-13 09:20:00,['Modem']
9,20009,1665.0,Jessica Taylor,south,Concord,maintenence,2024-02-03,38.0,True,True,,,2024-02-03 16:00:00,2025-12-13 10:00:00,[]
10,20010,,Nan,south,Charlotte,repair,2024-02-13,20.0,True,True,Signal Issue,,2024-02-13 16:00:00,2025-12-13 08:00:00,[]
11,20011,1535.0,Maria Gomez,south,Charlotte,maintenence,2024-04-02,42.0,True,False,,Installed new modem,2024-04-02 13:00:00,2025-12-13 12:50:00,[]
12,20012,5107.0,John Smith,east,Concord,repair,2024-01-08,76.0,True,False,,Installed new modem,2024-01-08 10:00:00,2025-12-13 17:00:00,['Splitter']
13,20013,6956.0,Maria Gomez,west,Huntersville,repair,2024-01-07,88.0,True,False,,,2024-01-07 09:30:00,2025-12-13 08:40:00,[]
14,20014,2491.0,John Smith,north,Huntersville,install,2024-02-06,136.0,False,True,,Installed new modem,2024-02-06 13:00:00,2025-12-13 12:10:00,"['Router', 'Coax Cable']"
15,20015,8111.0,John Smith,south,Concord,maintenence,2024-01-08,37.0,True,False,,Technician running late,2024-01-08 13:00:00,2025-12-13 09:20:00,['Fiber Ont']
16,20016,7901.0,John Smith,west,Huntersville,install,2024-03-26,95.0,False,True,,,2024-03-26 09:00:00,2025-12-13 08:00:00,"['Router', 'Coax Cable']"
